IS_10	MISS_10	IS_20	MISS_20	IS_30	MISS_30	IS_40	MISS_40	IS_50	MISS_50	IS_60	MISS_60	IS_70	MISS_70	IS_80	MISS_80	IS_90	MISS_90	IS_100	MISS_100
 27	  0	 37	  3	 54	  4	 62	  9	 66	 15	 70	 22	 73	 29	 76	 36	 79	 43	 84	 48
 30	  0	 37	  4	 46	  8	 55	 12	 60	 17	 63	 24	 68	 31	 79	 36	 85	 41	 88	 48
 29	  1	 43	  5	 59	  7	 61	 15	 64	 22	 68	 29	 74	 34	 78	 40	 82	 46	 84	 54
 26	  0	 40	  1	 54	  4	 62	  8	 70	 14	 78	 18	 84	 24	 89	 29	 93	 38	 99	 44
 31	  0	 42	  4	 48	 10	 51	 17	 57	 23	 60	 30	 64	 36	 65	 45	 73	 50	 79	 57
 32	  0	 41	  3	 52	  8	 58	 14	 67	 18	 74	 23	 78	 29	 84	 33	 88	 39	 96	 43
 30	  2	 38	  7	 44	 12	 49	 18	 56	 22	 57	 31	 64	 35	 67	 43	 69	 51	 73	 57
 32	  1	 40	  3	 49	  7	 57	 10	 64	 15	 69	 20	 75	 24	 80	 29	 85	 34	 91	 40
 30	  0	 43	  2	 52	  5	 57	 10	 61	 17	 69	 22	 70	 31	 72	 39	 74	 47	 77	 54
 27	  1	 34	  5	 41	 11	 49	 16	 59	 20	 65	 24	 69	 30	 69	 40	 74	 45	 77	 52
 32	  0	 40	  4	 55	  6	 64	 10	 68	 16	 74	 23	 78	 29	 83	 34	 86	 42	 89	 50
 25	  1	 35	  3	 45	  7	 50	 14	 54	 22	 59	 29	 65	 35	 71	 42	 74	 49	 76	 57
 25	  0	 41	  3	 48	  8	 55	 13	 64	 18	 69	 23	 73	 30	 79	 36	 83	 42	 85	 50
 29	  0	 39	  4	 47	  7	 56	 10	 65	 13	 69	 20	 71	 28	 76	 33	 81	 39	 85	 47
 33	  0	 45	  2	 60	  4	 68	  9	 74	 15	 79	 21	 84	 28	 86	 36	 88	 45	 97	 50
 32	  0	 46	  2	 55	  6	 62	 10	 67	 15	 77	 18	 85	 22	 92	 28	 99	 32	100	 41
 41	  1	 48	  5	 59	  9	 66	 14	 71	 19	 75	 26	 79	 32	 84	 38	 87	 45	 89	 53
 25	  0	 39	  3	 42	 10	 52	 12	 57	 19	 62	 25	 65	 32	 67	 41	 72	 47	 73	 56
 29	  2	 40	  5	 46	 10	 52	 14	 58	 21	 63	 27	 63	 37	 67	 43	 68	 52	 72	 59
 32	  3	 40	  6	 48	 10	 56	 14	 62	 18	 69	 23	 74	 31	 74	 41	 76	 49	 78	 57
 27	  2	 36	  5	 43	  8	 48	 14	 52	 21	 58	 27	 68	 31	 69	 40	 70	 49	 73	 56
 30	  1	 43	  5	 57	  7	 62	 12	 69	 17	 74	 24	 78	 31	 86	 34	 90	 40	 91	 49
 20	  3	 36	  5	 49	  6	 57	 11	 64	 15	 74	 18	 76	 26	 83	 31	 88	 36	 89	 45
 30	  1	 45	  4	 52	  7	 56	 14	 58	 22	 65	 27	 71	 33	 79	 38	 84	 45	 86	 53
 16	  2	 25	  5	 31	 10	 36	 15	 44	 18	 49	 25	 51	 34	 58	 39	 64	 44	 67	 51
 33	  1	 43	  4	 51	  7	 62	 11	 65	 19	 71	 23	 77	 28	 87	 32	 90	 39	 95	 45
 40	  0	 54	  4	 67	  6	 70	 13	 74	 21	 79	 26	 81	 34	 85	 42	 87	 50	 92	 57
 22	  1	 32	  4	 41	  8	 48	 13	 53	 19	 55	 27	 64	 29	 68	 36	 71	 43	 73	 51
 27	  2	 39	  5	 49	 10	 55	 15	 57	 23	 61	 29	 67	 34	 78	 37	 84	 41	 87	 48
 25	  2	 40	  5	 48	 11	 57	 15	 65	 19	 65	 29	 70	 34	 72	 42	 75	 49	 78	 57
 29	  1	 39	  4	 47	  8	 52	 13	 58	 18	 67	 23	 71	 29	 76	 34	 79	 41	 81	 49
 28	  1	 43	  4	 51	  8	 58	 13	 67	 15	 70	 23	 74	 29	 80	 33	 83	 40	 87	 46
 34	  2	 46	  5	 55	  8	 61	 15	 68	 22	 74	 27	 76	 35	 78	 43	 82	 49	 85	 56
 34	  2	 50	  4	 61	  5	 68	  9	 73	 15	 79	 20	 81	 28	 86	 34	 87	 43	 96	 47
 23	  1	 32	  3	 38	  9	 39	 18	 45	 24	 53	 29	 60	 35	 64	 42	 69	 48	 76	 54
 25	  2	 37	  5	 44	 10	 46	 18	 46	 28	 50	 35	 53	 42	 56	 49	 59	 56	 64	 62
 28	  0	 38	  2	 48	  6	 55	 10	 58	 18	 69	 22	 76	 26	 82	 31	 90	 35	 93	 42
 21	  2	 35	  3	 42	  8	 47	 14	 55	 20	 57	 28	 63	 34	 64	 43	 67	 50	 71	 56
 26	  1	 35	  4	 42	  9	 48	 14	 50	 22	 57	 27	 65	 33	 69	 40	 72	 47	 75	 54
 29	  2	 41	  4	 47	 10	 55	 15	 61	 20	 68	 24	 72	 30	 73	 39	 76	 46	 77	 55
 33	  1	 43	  6	 51	 11	 64	 15	 75	 18	 81	 23	 85	 29	 93	 33	 96	 40	100	 47
 31	  1	 42	  6	 56	  7	 66	  8	 74	 12	 81	 18	 82	 27	 83	 36	 88	 43	 89	 52
 30	  0	 37	  4	 43	  9	 49	 13	 56	 18	 59	 25	 62	 32	 64	 40	 67	 47	 70	 55
 29	  0	 42	  2	 54	  5	 60	 10	 66	 16	 74	 22	 79	 28	 79	 38	 81	 47	 85	 54
 24	  2	 39	  4	 47	 10	 51	 16	 57	 21	 68	 23	 73	 30	 76	 37	 79	 44	 80	 53
 29	  1	 38	  5	 49	  8	 58	 12	 62	 18	 73	 21	 81	 25	 83	 33	 83	 43	 90	 48
 33	  1	 46	  5	 55	 10	 61	 17	 66	 23	 78	 27	 81	 34	 87	 38	 91	 44	 92	 53
 29	  0	 47	  1	 52	  8	 59	 13	 68	 16	 71	 23	 77	 28	 82	 34	 87	 42	 91	 49
 26	  3	 45	  4	 54	  9	 62	 13	 68	 18	 74	 23	 81	 29	 86	 35	 90	 41	 92	 49
 21	  2	 32	  4	 38	  9	 48	 11	 54	 16	 64	 18	 71	 23	 74	 32	 77	 40	 82	 46
 26	  2	 37	  5	 44	 10	 50	 15	 56	 20	 63	 25	 67	 31	 74	 36	 78	 43	 84	 49
 29	  2	 37	  7	 51	  9	 61	 12	 66	 18	 73	 24	 74	 33	 78	 39	 83	 46	 88	 51
 28	  0	 42	  2	 51	  8	 57	 12	 64	 18	 69	 26	 74	 32	 78	 39	 81	 46	 81	 56
 26	  0	 38	  2	 49	  4	 55	  8	 61	 13	 66	 19	 69	 26	 72	 33	 76	 40	 82	 45
 26	  2	 40	  4	 49	  9	 56	 14	 66	 18	 68	 26	 71	 33	 73	 41	 75	 50	 79	 56
 26	  2	 37	  5	 48	  9	 57	 12	 65	 16	 71	 21	 75	 27	 77	 35	 81	 42	 85	 48
 20	  2	 38	  3	 44	  7	 51	 11	 55	 17	 60	 22	 63	 29	 65	 38	 70	 43	 77	 48
 29	  3	 47	  4	 55	  9	 62	 14	 67	 20	 72	 26	 73	 35	 77	 41	 79	 49	 87	 54
 26	  4	 39	  7	 46	 13	 52	 20	 58	 26	 63	 32	 67	 39	 78	 42	 81	 50	 86	 55
 22	  0	 49	  2	 52	 10	 60	 14	 65	 21	 71	 26	 77	 31	 79	 39	 84	 45	 90	 49
 29	  1	 49	  2	 55	  7	 57	 15	 63	 21	 73	 24	 78	 30	 84	 35	 84	 45	 84	 55
 25	  1	 45	  2	 54	  5	 61	 11	 65	 17	 67	 25	 72	 31	 76	 37	 78	 45	 80	 53
 29	  2	 35	  6	 42	 11	 46	 17	 49	 24	 54	 30	 57	 37	 65	 41	 68	 48	 72	 55
 36	  0	 45	  4	 51	  9	 55	 15	 61	 21	 68	 27	 74	 32	 79	 38	 82	 46	 83	 55
 33	  2	 42	  4	 49	  7	 51	 15	 56	 20	 59	 27	 64	 32	 70	 38	 71	 47	 78	 51
 23	  1	 33	  4	 40	  8	 49	 14	 53	 20	 59	 25	 63	 31	 69	 37	 70	 46	 73	 53
 24	  1	 36	  5	 47	  8	 53	 12	 59	 18	 62	 25	 66	 31	 73	 37	 76	 44	 77	 53
 21	  2	 28	  8	 37	 11	 44	 15	 53	 21	 55	 29	 61	 35	 70	 39	 74	 47	 81	 51
 28	  1	 44	  5	 54	  8	 62	 12	 68	 18	 73	 24	 76	 31	 79	 39	 86	 44	 88	 53
 27	  0	 36	  4	 45	  7	 52	 12	 56	 18	 62	 23	 64	 31	 66	 39	 68	 48	 71	 55
 22	  1	 30	  4	 36	  9	 39	 17	 52	 20	 56	 26	 58	 34	 59	 43	 61	 51	 67	 57
 23	  0	 37	  2	 50	  4	 54	 11	 61	 16	 62	 25	 67	 32	 72	 37	 73	 46	 77	 53
 32	  1	 47	  5	 56	  9	 61	 15	 68	 20	 74	 26	 77	 33	 81	 39	 87	 44	 90	 52
 26	  2	 38	  3	 50	  4	 58	  9	 64	 15	 71	 20	 78	 24	 81	 31	 85	 38	 90	 43
 37	  1	 49	  5	 57	 10	 65	 13	 68	 20	 73	 26	 76	 33	 77	 42	 82	 47	 84	 55
 25	  0	 32	  5	 39	 10	 47	 16	 49	 24	 53	 31	 58	 38	 60	 46	 65	 53	 70	 59
 41	  0	 48	  5	 55	 10	 59	 17	 66	 21	 68	 29	 69	 38	 71	 46	 76	 52	 82	 57
 22	  1	 31	  6	 37	 12	 41	 19	 48	 25	 52	 32	 60	 37	 70	 40	 73	 47	 74	 56
 27	  1	 33	  7	 39	 12	 44	 17	 50	 22	 52	 31	 55	 38	 59	 45	 63	 52	 68	 58
 35	  1	 53	  4	 57	 10	 61	 17	 71	 20	 76	 27	 79	 34	 85	 39	 91	 44	 95	 50
 27	  1	 36	  6	 43	 10	 47	 17	 58	 21	 62	 28	 66	 36	 66	 46	 68	 54	 73	 61
 21	  2	 36	  5	 46	  8	 50	 14	 59	 19	 63	 27	 64	 36	 68	 42	 71	 50	 75	 57
 33	  0	 42	  4	 48	  9	 53	 15	 61	 18	 65	 25	 66	 34	 71	 39	 74	 46	 79	 51
 28	  1	 43	  4	 52	  6	 55	 14	 61	 21	 68	 26	 71	 33	 73	 41	 78	 46	 83	 52
 30	  1	 47	  2	 53	  8	 58	 13	 62	 20	 67	 25	 71	 33	 78	 38	 79	 47	 80	 56
 27	  1	 41	  1	 50	  6	 56	 10	 62	 15	 66	 22	 69	 29	 72	 36	 76	 43	 81	 48
 27	  1	 39	  4	 46	  9	 50	 17	 57	 22	 66	 27	 72	 32	 77	 38	 81	 45	 85	 52
 28	  1	 34	  6	 44	  9	 50	 16	 53	 24	 59	 29	 64	 34	 68	 40	 69	 49	 71	 57
 24	  2	 35	  6	 42	 11	 49	 16	 56	 20	 60	 27	 61	 36	 61	 46	 66	 51	 69	 59
 21	  2	 32	  3	 40	  7	 44	 13	 45	 22	 49	 29	 53	 35	 55	 43	 56	 52	 61	 57
 31	  1	 43	  4	 48	 11	 52	 18	 60	 23	 68	 27	 76	 31	 81	 36	 81	 46	 82	 55
 31	  0	 40	  5	 45	 10	 50	 16	 57	 22	 61	 29	 67	 36	 72	 41	 75	 48	 81	 52
 19	  2	 30	  4	 37	  9	 44	 13	 50	 18	 55	 24	 65	 26	 69	 33	 70	 42	 72	 50
 23	  1	 34	  4	 42	  8	 45	 15	 49	 23	 53	 29	 56	 36	 61	 42	 64	 49	 67	 57
 30	  3	 46	  5	 53	 10	 56	 17	 62	 24	 67	 29	 72	 34	 78	 40	 79	 49	 82	 57
 31	  0	 44	  0	 52	  4	 59	 10	 63	 16	 66	 23	 69	 31	 70	 40	 75	 46	 76	 55
 20	  2	 31	  5	 38	 10	 42	 16	 47	 21	 51	 27	 56	 32	 60	 39	 61	 48	 63	 56
 31	  2	 38	  7	 42	 14	 48	 19	 57	 22	 61	 29	 70	 32	 74	 38	 78	 44	 83	 49
 28	  2	 40	  3	 48	  8	 53	 15	 54	 24	 61	 30	 67	 36	 72	 42	 75	 50	 80	 56
 31	  1	 39	  5	 47	 10	 63	 13	 67	 19	 71	 26	 77	 31	 81	 39	 82	 48	 87	 54
 27	  2	 34	  8	 40	 13	 50	 15	 56	 21	 61	 27	 62	 36	 65	 43	 70	 49	 72	 57
 21	  2	 31	  4	 40	  9	 47	 12	 53	 17	 58	 23	 61	 30	 68	 34	 70	 42	 72	 50
 36	  1	 53	  4	 61	 10	 68	 13	 72	 19	 74	 27	 77	 35	 82	 41	 85	 49	 87	 57
 31	  1	 44	  4	 56	  7	 63	 13	 71	 15	 80	 18	 84	 24	 88	 32	 94	 38	 97	 45
 29	  4	 38	  8	 47	 12	 57	 16	 60	 23	 68	 27	 77	 32	 82	 40	 83	 49	 87	 57
 25	  0	 37	  2	 43	  6	 54	  9	 61	 14	 64	 21	 73	 22	 76	 29	 76	 39	 79	 46
 29	  0	 46	  3	 55	  7	 61	 12	 64	 19	 69	 25	 74	 31	 78	 37	 81	 44	 83	 52
 30	  1	 40	  5	 50	  9	 56	 15	 64	 18	 68	 25	 75	 29	 77	 37	 81	 44	 85	 52
 25	  0	 41	  2	 46	  7	 54	 11	 59	 16	 63	 23	 70	 27	 72	 35	 78	 39	 82	 46
 26	  0	 41	  3	 50	  7	 58	 11	 67	 16	 77	 20	 80	 27	 84	 33	 88	 40	 92	 46
 21	  1	 32	  2	 37	  7	 41	 13	 49	 16	 53	 23	 58	 28	 66	 34	 71	 39	 77	 44
 23	  1	 35	  3	 45	  7	 52	 12	 55	 20	 58	 27	 66	 31	 76	 34	 78	 43	 85	 47
 21	  2	 34	  7	 41	 12	 48	 19	 49	 28	 57	 31	 64	 36	 69	 42	 72	 49	 76	 56
 19	  1	 27	  5	 37	  7	 45	 12	 49	 18	 56	 24	 64	 27	 70	 32	 78	 37	 81	 44
 22	  2	 30	  6	 40	  9	 44	 15	 54	 19	 59	 24	 66	 29	 69	 36	 74	 42	 79	 47
 24	  1	 34	  4	 42	 10	 50	 15	 57	 20	 62	 26	 70	 30	 74	 37	 79	 42	 84	 48
 29	  1	 40	  4	 45	 11	 50	 18	 60	 21	 65	 27	 68	 35	 69	 44	 72	 52	 74	 60
 26	  0	 36	  5	 44	 10	 50	 15	 52	 23	 55	 30	 62	 35	 70	 38	 75	 44	 76	 53
 22	  1	 40	  5	 50	  9	 55	 15	 58	 22	 64	 27	 69	 34	 72	 42	 76	 49	 76	 59
 27	  3	 34	  8	 39	 14	 47	 19	 51	 25	 56	 30	 59	 37	 63	 44	 68	 49	 74	 54
 28	  1	 42	  3	 48	  8	 52	 14	 60	 17	 64	 24	 75	 28	 77	 36	 80	 44	 81	 53
 32	  0	 42	  5	 48	 11	 54	 16	 57	 23	 65	 28	 70	 34	 80	 38	 81	 47	 83	 55
 29	  1	 39	  5	 48	  9	 52	 15	 61	 18	 70	 21	 74	 27	 78	 34	 82	 41	 84	 49
 40	  1	 53	  3	 64	  6	 71	 10	 77	 16	 81	 23	 83	 31	 85	 39	 90	 45	 91	 54
 32	  1	 47	  3	 53	  8	 63	 12	 71	 16	 83	 18	 90	 22	 94	 28	 97	 35	102	 42
 30	  1	 41	  3	 48	  8	 59	 10	 64	 15	 70	 20	 74	 26	 75	 35	 76	 44	 80	 50
 27	  1	 39	  5	 46	 10	 51	 17	 62	 22	 70	 26	 75	 31	 79	 37	 83	 44	 87	 51
 31	  0	 44	  2	 52	  8	 60	 12	 65	 18	 69	 24	 74	 30	 82	 35	 85	 42	 88	 49
 24	  2	 37	  5	 43	 10	 48	 15	 57	 18	 66	 24	 74	 27	 80	 31	 84	 37	 85	 46
 22	  3	 32	  6	 46	  8	 49	 15	 54	 21	 58	 27	 62	 33	 64	 41	 71	 46	 76	 52
 36	  2	 49	  4	 58	  8	 64	 14	 69	 22	 76	 28	 78	 36	 81	 43	 86	 48	 89	 55
 31	  1	 44	  4	 55	  7	 62	 13	 67	 18	 77	 20	 78	 29	 82	 36	 84	 44	 92	 46
 27	  1	 36	  6	 50	  8	 54	 14	 60	 18	 65	 23	 74	 28	 78	 35	 84	 41	 84	 51
 34	  0	 39	  6	 46	 11	 55	 13	 61	 18	 63	 26	 67	 33	 73	 37	 82	 41	 83	 50
 31	  0	 46	  3	 56	  5	 59	 12	 66	 17	 70	 25	 76	 30	 80	 37	 81	 46	 83	 54
 20	  1	 33	  3	 41	  8	 52	  9	 60	 13	 67	 16	 71	 23	 75	 31	 80	 36	 82	 44
 34	  0	 47	  2	 55	  7	 60	 13	 68	 17	 77	 22	 83	 28	 87	 35	 92	 40	 93	 49
 22	  2	 31	  6	 42	  8	 49	 13	 56	 18	 65	 21	 71	 27	 74	 35	 77	 43	 80	 50
 23	  1	 37	  2	 50	  4	 52	 12	 57	 18	 64	 25	 67	 32	 71	 39	 74	 46	 75	 55
 25	  2	 38	  4	 43	 10	 50	 15	 56	 21	 67	 24	 71	 30	 73	 39	 77	 45	 80	 53
 29	  0	 41	  1	 49	  5	 53	 12	 60	 16	 67	 21	 71	 28	 71	 38	 76	 44	 79	 52
 28	  1	 41	  3	 50	  6	 64	  8	 73	 13	 79	 18	 82	 25	 86	 31	 90	 37	 91	 46
 19	  4	 33	  7	 46	 12	 52	 18	 58	 23	 66	 28	 72	 34	 80	 38	 83	 47	 88	 54
 28	  1	 38	  5	 46	  8	 55	 11	 63	 15	 66	 22	 68	 30	 73	 36	 79	 40	 83	 46
 26	  1	 43	  1	 54	  6	 57	 13	 61	 20	 65	 26	 71	 32	 72	 41	 76	 48	 79	 55
 30	  3	 37	  8	 44	 13	 51	 18	 61	 21	 66	 26	 71	 32	 73	 40	 77	 46	 83	 50
 30	  1	 43	  1	 54	  5	 62	 10	 68	 14	 72	 20	 76	 27	 80	 34	 81	 43	 82	 52
 29	  1	 41	  3	 46	 10	 49	 18	 55	 23	 58	 31	 66	 35	 70	 42	 78	 46	 82	 52
 33	  2	 45	  5	 56	  7	 66	 10	 69	 17	 77	 22	 85	 26	 90	 33	 96	 40	101	 45
 33	  0	 40	  4	 49	  8	 56	 13	 63	 19	 67	 26	 71	 32	 75	 39	 76	 48	 82	 53
 21	  2	 32	  6	 42	 10	 47	 16	 53	 22	 60	 28	 67	 32	 69	 40	 74	 45	 80	 50
 38	  0	 50	  1	 56	  6	 58	 14	 63	 21	 67	 29	 76	 32	 77	 41	 81	 47	 83	 56
 20	  2	 33	  5	 49	  7	 57	 10	 64	 14	 66	 22	 70	 28	 74	 35	 77	 44	 81	 52
 32	  0	 44	  2	 51	  6	 57	 11	 63	 18	 68	 24	 71	 31	 78	 35	 81	 42	 85	 48
 20	  3	 38	  5	 56	  7	 62	 12	 68	 17	 73	 24	 77	 32	 80	 39	 81	 48	 85	 54
 27	  5	 39	  9	 47	 13	 58	 16	 65	 20	 72	 24	 80	 27	 88	 31	 91	 38	 91	 48
 40	  0	 51	  3	 61	  7	 69	 12	 77	 16	 82	 21	 85	 29	 90	 35	 91	 44	 93	 52
 30	  3	 40	  5	 47	  9	 53	 15	 58	 20	 62	 27	 70	 33	 74	 39	 77	 47	 85	 50
 19	  3	 35	  5	 41	 11	 51	 15	 55	 22	 58	 30	 63	 35	 68	 43	 74	 48	 77	 55
 25	  2	 37	  5	 43	 10	 50	 16	 54	 23	 57	 30	 61	 36	 62	 45	 65	 52	 67	 60
 26	  1	 39	  4	 44	  9	 51	 13	 55	 20	 64	 25	 73	 29	 77	 35	 85	 40	 88	 47
 23	  2	 34	  5	 45	  7	 50	 13	 60	 18	 64	 24	 70	 30	 73	 38	 76	 46	 76	 56
 27	  0	 36	  4	 49	  6	 58	  8	 66	 12	 71	 18	 74	 25	 79	 30	 86	 35	 90	 41
 30	  0	 39	  4	 44	  9	 52	 14	 57	 20	 62	 25	 69	 29	 70	 38	 73	 45	 77	 51
 39	  0	 48	  5	 60	  8	 66	 14	 77	 17	 79	 25	 83	 31	 85	 39	 88	 46	 92	 53
 22	  2	 33	  5	 41	  9	 47	 13	 54	 18	 56	 26	 57	 35	 57	 45	 62	 51	 64	 59
 31	  0	 42	  6	 55	  9	 58	 17	 62	 24	 68	 29	 74	 34	 80	 39	 85	 46	 87	 54
 17	  2	 27	  5	 38	  8	 44	 13	 48	 20	 56	 25	 59	 32	 65	 38	 67	 46	 69	 54
 25	  0	 39	  2	 45	  7	 55	  9	 63	 15	 69	 21	 73	 27	 77	 33	 80	 40	 83	 47
 28	  0	 41	  3	 53	  6	 58	 12	 68	 15	 80	 18	 83	 25	 90	 31	 94	 37	 97	 44
 36	  1	 46	  4	 54	  6	 59	 14	 66	 19	 72	 26	 77	 34	 83	 40	 87	 46	 90	 54
 31	  2	 47	  3	 60	  8	 68	 12	 77	 16	 85	 19	 88	 26	 93	 32	 96	 41	 98	 49
 34	  0	 45	  3	 56	  6	 65	  9	 73	 12	 81	 17	 86	 25	 90	 32	 95	 39	 98	 47
 23	  1	 31	  5	 39	  9	 47	 13	 56	 16	 59	 24	 66	 30	 72	 35	 80	 39	 82	 48
 18	  2	 36	  4	 46	  7	 58	  9	 62	 15	 71	 20	 79	 23	 86	 27	 91	 33	 97	 38
 28	  0	 40	  2	 45	  8	 52	 13	 58	 17	 59	 26	 67	 29	 75	 34	 78	 41	 79	 50
 29	  1	 37	  5	 41	 11	 54	 13	 60	 18	 64	 25	 70	 30	 73	 37	 77	 43	 78	 52
 30	  0	 42	  3	 49	  7	 55	 12	 66	 14	 73	 19	 78	 24	 82	 30	 87	 35	 88	 44
 25	  0	 38	  3	 45	  8	 51	 14	 59	 18	 69	 21	 73	 28	 78	 33	 80	 41	 82	 49
 22	  1	 38	  2	 46	  7	 55	 12	 61	 17	 67	 23	 70	 30	 73	 37	 75	 45	 80	 52
 26	  2	 40	  5	 49	  9	 51	 17	 56	 23	 61	 29	 67	 34	 70	 41	 75	 46	 79	 52
 25	  0	 42	  2	 54	  6	 60	 12	 66	 19	 70	 27	 73	 34	 81	 40	 84	 48	 86	 56
 25	  3	 39	  4	 48	  7	 53	 15	 60	 20	 68	 25	 69	 34	 73	 40	 78	 46	 82	 52
 24	  4	 33	  8	 39	 13	 46	 19	 49	 27	 56	 32	 64	 37	 71	 42	 79	 47	 80	 56
 35	  0	 46	  4	 53	  9	 60	 14	 66	 19	 75	 24	 83	 28	 91	 31	 96	 36	102	 41
 31	  0	 42	  3	 55	  5	 64	  9	 71	 12	 80	 15	 85	 20	 87	 28	 94	 33	 95	 42
 36	  1	 42	  6	 49	 10	 53	 16	 59	 23	 67	 27	 72	 33	 78	 38	 81	 45	 82	 54
 23	  2	 34	  5	 44	 11	 51	 16	 58	 20	 65	 24	 67	 32	 73	 38	 77	 44	 80	 52
 35	  1	 46	  4	 56	  7	 65	 10	 68	 18	 80	 19	 85	 25	 89	 31	 92	 39	100	 42
 21	  0	 33	  4	 44	  8	 51	 13	 55	 20	 57	 28	 61	 34	 64	 41	 66	 49	 69	 56
 24	  0	 34	  5	 41	 10	 45	 17	 59	 20	 62	 28	 66	 34	 69	 41	 76	 45	 79	 52
 38	  1	 49	  6	 55	 12	 61	 18	 65	 25	 71	 29	 75	 36	 77	 44	 79	 52	 80	 61
 26	  0	 42	  2	 48	  7	 56	 13	 61	 19	 61	 29	 65	 35	 68	 42	 71	 49	 73	 57
 32	  1	 45	  3	 51	  7	 56	 12	 63	 18	 68	 23	 71	 31	 74	 38	 78	 45	 81	 52
 30	  0	 40	  1	 44	  8	 49	 14	 52	 21	 56	 28	 59	 35	 60	 44	 61	 53	 63	 61
 28	  0	 40	  3	 45	  9	 55	 11	 63	 15	 70	 18	 73	 25	 76	 33	 77	 42	 80	 49
 35	  0	 43	  5	 51	 10	 53	 18	 59	 22	 65	 27	 71	 31	 76	 38	 86	 43	 92	 49
 28	  1	 36	  6	 46	  9	 50	 16	 58	 19	 62	 25	 68	 30	 69	 39	 70	 48	 71	 57
 42	  1	 48	  5	 60	 11	 66	 17	 71	 22	 78	 28	 82	 34	 83	 43	 88	 50	 90	 58
 34	  0	 42	  6	 48	 12	 55	 17	 62	 22	 65	 29	 73	 33	 75	 41	 76	 50	 78	 58
